ip,port,country,city,datacenter,asn,organization,source_latency_ms,baidu_delay_ms,tested,cn2,cn2_evidence,trace_url,trace_status,traced_at,route_class,route_evidence
38.207.133.44,443,HK,香港,HKG,6134,XNNET LLC,2.0,989,True,True,"Guangzhou: 59.43.248.250, 59.43.250.170; Nanjing: 59.43.139.117, 59.43.248.250; Beijing: 59.43.246.226; Xi'an: 59.43.248.250, 59.43.93.109",https://globalping.io?measurement=20sTzpgv7jAhGiGBW00020wEi,cn2_gt,2026-08-13T03:36:48Z,cn2_gt,"Guangzhou: 59.43.248.250, 59.43.250.170; Nanjing: 59.43.139.117, 59.43.248.250; Beijing: 59.43.246.226; Xi'an: 59.43.248.250, 59.43.93.109"
38.76.181.100,443,HK,香港,HKG,401701,cognetcloud INC,2.0,1000,True,True,"Guangzhou: 59.43.183.110; Nanjing: 59.43.139.117, 59.43.183.110; Beijing: 59.43.181.210, 59.43.19.94, 59.43.246.226; Xi'an: 59.43.137.241, 59.43.188.122",https://globalping.io?measurement=2tfTm9ejYMpiEi4Ku00020wEj,cn2_gt,2026-08-13T03:37:26Z,cn2_gt,"Guangzhou: 59.43.183.110; Nanjing: 59.43.139.117, 59.43.183.110; Beijing: 59.43.181.210, 59.43.19.94, 59.43.246.226; Xi'an: 59.43.137.241, 59.43.188.122"
45.131.179.101,443,HK,香港,HKG,6134,XNNET LLC,2.0,1085,True,True,Guangzhou: 59.43.130.126,https://globalping.io?measurement=2HDF6XBtsj59bOqo500020wEn,cn2_gt,2026-08-13T03:42:00Z,cn2_gt,Guangzhou: 59.43.130.126
68.64.182.121,443,HK,香港,HKG,139659,LUCIDACLOUD LIMITED,2.0,1008,True,True,"Guangzhou: 59.43.248.250; Nanjing: 59.43.139.113, 59.43.248.246; Xi'an: 59.43.188.122, 59.43.93.109",https://globalping.io?measurement=2i5PdfyPYYRsgSUR100020wEj,cn2_gt,2026-08-13T03:37:40Z,cn2_gt,"Guangzhou: 59.43.248.250; Nanjing: 59.43.139.113, 59.43.248.246; Xi'an: 59.43.188.122, 59.43.93.109"
43.159.4.80,443,SG,新加坡,SIN,132203,"Tencent Building, Kejizhongyi Avenue",2.0,999,True,True,Nanjing: 59.43.132.153,https://globalping.io?measurement=29AtQBn00L1V1R3C200020wEj,cn2_gt,2026-08-13T03:37:16Z,cn2_gt,Nanjing: 59.43.132.153
103.143.81.178,443,HK,香港,HKG,139659,LUCIDACLOUD LIMITED,3.0,983,True,True,"Nanjing: 59.43.139.109, 59.43.248.250; Beijing: 59.43.246.226",https://globalping.io?measurement=2Kn6eo2bcmlLzRYTD00020wEi,cn2_gt,2026-08-13T03:36:20Z,cn2_gt,"Nanjing: 59.43.139.109, 59.43.248.250; Beijing: 59.43.246.226"
156.239.12.210,443,HK,香港,HKG,154321,CORENET CLOUD SDN. BHD.,3.0,1161,True,True,"Guangzhou: 59.43.183.110; Nanjing: 59.43.139.117, 59.43.248.250, 59.43.250.50",https://globalping.io?measurement=2ETnrcuAQ5F2u06YD00020wEP,cn2_gt,2026-08-13T03:18:10Z,cn2_gt,"Guangzhou: 59.43.183.110; Nanjing: 59.43.139.117, 59.43.248.250, 59.43.250.50"
165.154.20.213,443,HK,香港,HKG,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,3.0,3503,True,True,Xi'an: 59.43.156.129,https://globalping.io?measurement=2NwI4Ze38yVhBR39600020wEP,cn2_gt,2026-08-13T03:17:43Z,cn2_gt,Xi'an: 59.43.156.129
193.134.209.123,443,HK,香港,HKG,139659,LUCIDACLOUD LIMITED,3.0,1244,True,True,"Guangzhou: 59.43.248.246; Nanjing: 59.43.139.117, 59.43.248.250",https://globalping.io?measurement=2NFwZUFDzH4BFXkEK00020wEK,cn2_gt,2026-08-13T03:13:02Z,cn2_gt,"Guangzhou: 59.43.248.246; Nanjing: 59.43.139.117, 59.43.248.250"
38.207.164.126,443,HK,香港,HKG,967,VMISS Inc.,3.0,995,True,True,"Guangzhou: 59.43.188.122; Nanjing: 59.43.139.109, 59.43.248.246; Beijing: 59.43.181.222, 59.43.246.226",https://globalping.io?measurement=2WZK2j3AZtkAnR32x00020wEi,cn2_gt,2026-08-13T03:37:02Z,cn2_gt,"Guangzhou: 59.43.188.122; Nanjing: 59.43.139.109, 59.43.248.246; Beijing: 59.43.181.222, 59.43.246.226"
68.64.182.79,443,HK,香港,HKG,139659,LUCIDACLOUD LIMITED,3.0,1256,True,True,"Guangzhou: 59.43.248.246; Nanjing: 59.43.139.109, 59.43.248.246; Nanjing: 59.43.139.109, 59.43.183.110",https://globalping.io?measurement=27qOEvbWcyQ0hRwyq00020w5b,cn2_gt,,cn2_gt,
38.207.177.204,443,HK,香港,HKG,139659,LUCIDACLOUD LIMITED,9.0,1216,True,True,"Nanjing: 59.43.130.122, 59.43.139.117, 59.43.248.246; Nanjing: 59.43.123.89, 59.43.188.122",https://globalping.io?measurement=2Nu40TJGXzkCPLi8000020w5c,cn2_gt,,cn2_gt,
43.160.254.163,443,SG,新加坡,SIN,132203,"Tencent Building, Kejizhongyi Avenue",30.0,2290,True,True,Nanjing: 59.43.139.117,https://globalping.io?measurement=2Hg4PXQzKGJNyRjR700020wEP,cn2_gt,2026-08-13T03:17:57Z,cn2_gt,Nanjing: 59.43.139.117
82.158.88.94,443,HK,香港,HKG,401701,cognetcloud INC,32.0,1179,True,True,"Guangzhou: 59.43.183.110; Nanjing: 59.43.139.129, 59.43.183.110; Beijing: 59.43.183.122, 59.43.248.2; Xi'an: 59.43.137.241, 59.43.188.122",https://globalping.io?measurement=2MoUn7gsFJdC3BnLz00020wES,cn2_gt,2026-08-13T03:20:38Z,cn2_gt,"Guangzhou: 59.43.183.110; Nanjing: 59.43.139.129, 59.43.183.110; Beijing: 59.43.183.122, 59.43.248.2; Xi'an: 59.43.137.241, 59.43.188.122"
150.109.11.223,443,SG,新加坡,SIN,132203,"Tencent Building, Kejizhongyi Avenue",34.0,2669,True,True,"Nanjing: 59.43.139.129; Beijing: 59.43.145.62, 59.43.22.41; Xi'an: 59.43.137.241",https://globalping.io?measurement=26FEmuI702JMATYME00020wEO,cn2_gt,2026-08-13T03:16:32Z,cn2_gt,"Nanjing: 59.43.139.129; Beijing: 59.43.145.62, 59.43.22.41; Xi'an: 59.43.137.241"
43.160.209.30,443,SG,新加坡,SIN,132203,"Tencent Building, Kejizhongyi Avenue",34.0,2248,True,True,Nanjing: 59.43.139.109; Xi'an: 59.43.137.241,https://globalping.io?measurement=2IIkBo0KB5IV0xrl500020wEO,cn2_gt,2026-08-13T03:16:18Z,cn2_gt,Nanjing: 59.43.139.109; Xi'an: 59.43.137.241
43.160.240.180,443,SG,新加坡,SIN,132203,"Tencent Building, Kejizhongyi Avenue",34.0,1156,True,True,"Nanjing: 59.43.130.126, 59.43.139.117",https://globalping.io?measurement=2IABIyi079OhY0s0E00020wEt,cn2_gt,2026-08-13T03:47:51Z,cn2_gt,"Nanjing: 59.43.130.126, 59.43.139.117"
43.156.142.191,443,SG,新加坡,SIN,132203,"Tencent Building, Kejizhongyi Avenue",38.0,1601,True,True,Nanjing: 59.43.139.113,https://globalping.io?measurement=20h2UogvgwUaboyCo00020wEO,cn2_gt,2026-08-13T03:16:45Z,cn2_gt,Nanjing: 59.43.139.113
43.160.197.205,443,SG,新加坡,SIN,132203,"Tencent Building, Kejizhongyi Avenue",38.0,1098,True,True,Nanjing: 59.43.139.109,https://globalping.io?measurement=2KT94gubBZQWEKhyF00020wEo,cn2_gt,2026-08-13T03:43:11Z,cn2_gt,Nanjing: 59.43.139.109
43.160.253.225,443,SG,新加坡,SIN,132203,"Tencent Building, Kejizhongyi Avenue",38.0,2296,True,True,Nanjing: 59.43.139.117,https://globalping.io?measurement=2d5yRvREhWyGxkFzQ00020wEM,cn2_gt,2026-08-13T03:14:48Z,cn2_gt,Nanjing: 59.43.139.117
111.119.193.50,443,SG,新加坡,SIN,136907,HUAWEI CLOUDS,41.0,1879,True,True,"Guangzhou: 59.43.130.102; Nanjing: 59.43.39.118, 59.43.46.101; Beijing: 59.43.159.18, 59.43.46.82",https://globalping.io?measurement=2whzoXU1xDkzVQVJr00020w5c,cn2_gt,,cn2_gt,
43.156.23.85,443,SG,新加坡,SIN,132203,"Tencent Building, Kejizhongyi Avenue",41.0,2388,True,True,"Guangzhou: 59.43.250.50; Nanjing: 59.43.139.109, 59.43.16.166",https://globalping.io?measurement=2bPYUg7gIR76yVGed00020w5l,cn2_gt,,cn2_gt,
191.222.212.77,443,JP,东京,NRT,906,DMIT Cloud Services,47.0,1262,True,True,"Guangzhou: 59.43.130.194, 59.43.144.209; Nanjing: 59.43.139.133",https://globalping.io?measurement=2EqHVS3p3juopEHaZ00020wEO,cn2_gt,2026-08-13T03:16:59Z,cn2_gt,"Guangzhou: 59.43.130.194, 59.43.144.209; Nanjing: 59.43.139.133"
82.40.33.62,443,JP,东京,NRT,400618,Prime Security Corp.,47.0,1146,True,True,"Guangzhou: 59.43.144.209, 59.43.246.26; Nanjing: 59.43.246.26; Beijing: 59.43.138.54, 59.43.183.2, 59.43.46.82",https://globalping.io?measurement=2I9wMX37IiGgESj8300020wEs,cn2_gt,2026-08-13T03:46:41Z,cn2_gt,"Guangzhou: 59.43.144.209, 59.43.246.26; Nanjing: 59.43.246.26; Beijing: 59.43.138.54, 59.43.183.2, 59.43.46.82"
207.56.227.33,443,JP,东京,NRT,140227,"Hong Kong Communications International Co., Limited",50.0,1128,True,True,"Guangzhou: 59.43.183.2, 59.43.22.6, 59.43.46.77; Nanjing: 59.43.139.137, 59.43.159.18, 59.43.183.2, 59.43.39.130",https://globalping.io?measurement=26kHW3PfBvhTc09zp00020wER,cn2_gt,2026-08-13T03:19:28Z,cn2_gt,"Guangzhou: 59.43.183.2, 59.43.22.6, 59.43.46.77; Nanjing: 59.43.139.137, 59.43.159.18, 59.43.183.2, 59.43.39.130"
154.64.246.151,443,HK,香港,HKG,979,NetLab Global,0.0,1334,True,True,"Nanjing: 59.43.139.109, 59.43.188.122; Shenzhen: 59.43.188.122",https://globalping.io?measurement=2yzg8AxKvZs4cbX1L00020wEI,cn2_gt,2026-08-13T03:11:05Z,cn2_gt,"Nanjing: 59.43.139.109, 59.43.188.122; Shenzhen: 59.43.188.122"
64.90.24.26,443,HK,香港,HKG,979,NetLab Global,0.0,1867,True,True,Nanjing: 59.43.132.149; Xi'an: 59.43.156.129,https://globalping.io?measurement=27uSTgcGacpPHUc6M00020wER,cn2_gt,2026-08-13T03:19:14Z,cn2_gt,Nanjing: 59.43.132.149; Xi'an: 59.43.156.129
